"hour","hourIndex","airportRoad","amman","temperature","precipitation","windspeed","weatherCode","weatherLabel"
"12am","0","0","0","7.8","0","16.1","0","Clear sky"
"01am","1","0","0","7.6","0","17.5","0","Clear sky"
"02am","2","0","0","7.4","0","18.2","0","Clear sky"
"03am","3","0","0","7.3","0","19.6","0","Clear sky"
"04am","4","0","0","7.2","0","18.6","0","Clear sky"
"05am","5","0","0","6.7","0","17.3","0","Clear sky"
"06am","6","1165","2363","6.5","0","17.6","3","Overcast"
"07am","7","1190","1811","6.8","0","17","3","Overcast"
"08am","8","2352","1410","7.6","0","16.6","1","Mainly clear"
"09am","9","12195","26380","8.8","0","20.6","2","Partly cloudy"
"10am","10","28547","122455","9.4","0.1","20.2","51","Drizzle"
"11am","11","28845","142589","9.9","0.1","18.2","51","Drizzle"
"12pm","12","25586","141367","11.1","0.1","18","51","Drizzle"
"01pm","13","22056","141238","11.9","0","18.3","2","Partly cloudy"
"02pm","14","20893","138034","11.6","0","17.8","2","Partly cloudy"
"03pm","15","21667","140925","11.9","0","17.2","2","Partly cloudy"
"04pm","16","24700","148234","12","0","16.4","0","Clear sky"
"05pm","17","25832","146691","11.3","0","16.2","0","Clear sky"
"06pm","18","27057","140790","10.3","0","14.1","1","Mainly clear"
"07pm","19","28192","136477","9.2","0","12.2","1","Mainly clear"
"08pm","20","24286","124774","8.6","0","12.7","2","Partly cloudy"
"09pm","21","18520","133649","8.4","0","12.1","1","Mainly clear"
"10pm","22","405","3266","7.9","0","9.4","3","Overcast"
"11pm","23","0","0","7.3","0","10.1","0","Clear sky"